@date: 2012-11-23
@url: http://www.quanthistling.info/data/source/huber1992/wordlist.html
@source_title: VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_author: Huber, Randall Q. & Reed, Robert B.
@source_year: 1992
@doculect: kamsá, kbh, kamsa
@doculect: Español, spa, Espanol
@doculect: baniva, bvv, baniva
@doculect: English, eng, English
@doculect: achagua, aca, achagua
@doculect: epena Saija, sja, epena Saija
@doculect: awa, kwi, awa
@doculect: epena basurudó, sja, epena basurudo
@doculect: bora, boa, bora, Witotoan
@doculect: giacone, tae, giacone
@doculect: barí, mot, bari
@doculect: bará, bao, bara
@doculect: guahibo, guh, guahibo
@doculect: barasana, bsn, barasana
@doculect: cabiyarí, cbb, cabiyari
@doculect: secoya, sey, secoya
@doculect: cha'palaachi, cbi, cha'palaachi
@doculect: guambiano, gum, guambiano
@doculect: cuiba, cui, cuiba
@doculect: carijona, cbd, carijona
@doculect: macuna, myy, macuna
@doculect: chimila, cbg, chimila
@doculect: guayabero, guo, guayabero
@doculect: embera chamí, cmi, embera chami
@doculect: carapana, cbc, carapana
@doculect: curripaco, kpc, curripaco
@doculect: ika, arh, ika
@doculect: catío, cto, catio
@doculect: cubeo, cub, cubeo
@doculect: muinane, bmr, muinane, Witotoan
@doculect: desano, des, desano
@doculect: inga, inb, inga
@doculect: dí̵mi̵na, mbp, dimina
@doculect: embera Darién, emp, embera Darien
@doculect: nukak, mbr, nukak
@doculect: jupda, jup, jupda
@doculect: jitnu, mbn, jitnu
@doculect: koreguaje, coe, koreguaje
@doculect: páez, pbb, paez
@doculect: kakua, cbv, kakua
@doculect: witoto mi̵ni̵ca, hto, witoto minica, Witotoan
@doculect: kogui, kog, kogui
@doculect: witoto ni̵pode, hux, witoto nipode, Witotoan
@doculect: miraña, boa, mirana, Witotoan
@doculect: piratapuyo, pir, piratapuyo
@doculect: playero, gob, playero
@doculect: witoto murui, huu, witoto murui, Witotoan
@doculect: ocaina, oca, ocaina, Witotoan
@doculect: orejón, ore, orejon
@doculect: piapoco, pio, piapoco
@doculect: puinave, pui, puinave
@doculect: resígaro, rgr, resigaro
@doculect: sáliba, slc, saliba
@doculect: siona, snn, siona
@doculect: siriano, sri, siriano
@doculect: tatuyo, tav, tatuyo
@doculect: tucano, tuo, tucano
@doculect: embera Tadó, tdc, embera Tado
@doculect: tanimuca, tnc, tanimuca
