ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Name_in_Source
Achagua,Achagua,acha1250,Achagua,aca,South America,4.38649,-72.2005,Arawakan,achagua
Awa,Awa,awac1239,Awa-Cuaiquer,kwi,South America,1.21652,-78.3401,Barbacoan,awa
Baniva,Baniva,bani1254,Avane,bvv,South America,5.26123,-67.5633,Arawakan,baniva
Barasana,Barasana,bara1380,Barasana-Eduria,bsn,South America,0.02193,-70.808,Tucanoan,barasana
Bara,Bará,waim1255,Waimaha,bao,South America,0.30416,-70.1644,Tucanoan,bará
Bari,Barí,bari1297,Barí,mot,South America,9.08497,-72.9353,Chibchan,barí
Bora,Bora,bora1263,Bora,boa,South America,-2.91467,-68.9093,Boran,bora
Cabiyari,Cabiyarí,cabi1241,Cabiyarí,cbb,South America,0.16101,-71.0622,Arawakan,cabiyarí
Carapana,Carapana,cara1272,Carapana,cbc,South America,0.06168,-69.6465,Tucanoan,carapana
Carijona,Carijona,cari1279,Carijona,cbd,South America,1.21894,-72.0664,Cariban,carijona
Catio,Catío,embe1260,Emberá-Catío,cto,South America,7.52721,-76.7476,Chocoan,catío
Chapalaachi,Cha'palaachi,chac1249,Cha'palaa,cbi,South America,0.71489,-79.0508,Barbacoan,cha'palaachi
Chimila,Chimila,chim1309,Chimila,cbg,South America,10.1902,-74.2559,Chibchan,chimila
Cubeo,Cubeo,cube1242,Cubeo,cub,South America,1.32382,-70.1939,Tucanoan,cubeo
Cuiba,Cuiba,cuib1242,Cuiba,cui,South America,6.19829,-69.8197,Guahiboan,cuiba
Curripaco,Curripaco,curr1243,Curripaco,kpc,South America,0.69618,-67.5028,Arawakan,curripaco
Desano,Desano,desa1247,Desano,des,South America,0.58157,-69.4955,Tucanoan,desano
Dimina,Dí̵mi̵na,mala1522,Malayo,mbp,South America,10.9286,-73.4056,Chibchan,dí̵mi̵na
EmberaDarien,Embera Darién,nort2972,Northern Emberá,emp,South America,7.12761,-77.574,Chocoan,embera Darién
EmberaTado,Embera Tadó,embe1261,Emberá-Tadó,tdc,South America,5.23658,-77.1533,Chocoan,embera Tadó
EmberaChami,Embera Chamí,embe1262,Emberá-Chamí,cmi,South America,4.8791,-76.0749,Chocoan,embera chamí
EpenaSaija,Epena Saija,epen1239,Epena,sja,South America,4.25877,-77.3566,Chocoan,epena Saija
EpenaBasurudo,Epena Basurudó,epen1239,Epena,sja,South America,4.25877,-77.3566,Chocoan,epena basurudó
Giacone,Giacone,tari1256,Tariana,tae,South America,0.440205,-68.9042,Arawakan,giacone
Guahibo,Guahibo,guah1255,Guahibo,guh,South America,5.81736,-68.9839,Guahiboan,guahibo
Guambiano,Guambiano,guam1248,Guambiano,gum,South America,2.55849,-76.582,Barbacoan,guambiano
Guayabero,Guayabero,guay1257,Guayabero,guo,South America,2.8969,-71.844,Guahiboan,guayabero
Ika,Ika,arhu1242,Arhuaco,arh,South America,10.7018,-73.6363,Chibchan,ika
Inga,Inga,inga1252,Inga,inb,South America,1.00313,-76.8606,Quechuan,inga
Jitnu,Jitnu,maca1259,Macaguán,mbn,South America,6.34582,-71.2671,Guahiboan,jitnu
Jupda,Jupda,hupd1244,Hupdë,jup,South America,0.58622,-69.8359,Naduhup,jupda
Kakua,Kakua,cacu1241,Kakua,cbv,South America,0.88778,-69.5659,Kakua-Nukak,kakua
Kamsa,Kamsá,cams1241,Camsá,kbh,South America,1.14537,-76.8931,Camsá,kamsá
Kogui,Kogui,cogu1240,Cogui,kog,South America,10.9485,-73.8043,Chibchan,kogui
Koreguaje,Koreguaje,kore1283,Koreguaje,coe,South America,0.92316,-75.3475,Tucanoan,koreguaje
Macuna,Macuna,macu1260,Macuna,myy,South America,-0.14459,-70.0749,Tucanoan,macuna
Mirana,Miraña,bora1263,Bora,boa,South America,-2.91467,-68.9093,Boran,miraña
Muinane,Muinane,muin1242,Muinane,bmr,South America,-0.8652,-72.4249,Boran,muinane
Nukak,Nukak,nuka1242,Nukak Makú,mbr,South America,2.65939,-71.4629,Kakua-Nukak,nukak
Ocaina,Ocaina,ocai1244,Ocaina,oca,South America,-2.159,-72.1422,Huitotoan,ocaina
Orejon,Orejón,orej1242,Maijiki,ore,South America,-2.86315,-72.4926,Tucanoan,orejón
Piapoco,Piapoco,piap1246,Piapoco,pio,South America,4.37718,-68.5953,Arawakan,piapoco
Piratapuyo,Piratapuyo,pira1254,Wa'ikhana,pir,South America,0.50714,-69.5032,Tucanoan,piratapuyo
Playero,Playero,play1240,Playero,gob,South America,6.90948,-71.0036,Guahiboan,playero
Puinave,Puinave,puin1248,Puinave,pui,South America,3.92974,-67.6886,Puinave,puinave
Paez,Páez,paez1247,Páez,pbb,South America,2.61516,-76.3125,Páez,páez
Resigaro,Resígaro,resi1247,Resígaro,rgr,South America,-2.48139,-71.3578,Arawakan,resígaro
Secoya,Secoya,seco1241,Secoya,sey,South America,-0.459785,-75.5547,Tucanoan,secoya
Siona,Siona,sion1247,Siona-Tetete,snn,South America,0.31733,-76.0237,Tucanoan,siona
Siriano,Siriano,siri1274,Siriano,sri,South America,0.436515,-70.184,Tucanoan,siriano
Saliba,Sáliba,sali1298,Sáliba,slc,South America,5.30115,-69.3843,Saliban,sáliba
Tanimuca,Tanimuca,tani1257,Tanimuca-Retuarã,tnc,South America,-0.59023,-70.3853,Tucanoan,tanimuca
Tariano,Tariano,tari1256,Tariana,tae,South America,0.440205,-68.9042,Arawakan,tariano
Tatuyo,Tatuyo,tatu1247,Tatuyo,tav,South America,0.55582,-70.5327,Tucanoan,tatuyo
Totoro,Totoró,toto1306,Totoro,ttk,South America,2.55149,-76.6379,Barbacoan,totoró
TsafiquiPila,Tsafiqui Pila,colo1256,Tsafiki,cof,South America,-0.21181,-79.2347,Barbacoan,tsafiqui pila
Tucano,Tucano,tuca1252,Tucano,tuo,South America,0.579755,-69.5763,Tucanoan,tucano
TuneboCentral,Tunebo Central,cent2150,Central Tunebo,tuf,South America,6.8867,-72.097,Chibchan,tunebo central
Tuyuca,Tuyuca,tuyu1244,Tuyuca,tue,South America,0.39441,-70.043515,Tucanoan,tuyuca
Waimaja,Waimaja,waim1255,Waimaha,bao,South America,0.30416,-70.1644,Tucanoan,waimaja
