ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Gloss_in_digital_source
1_tongue,tongue,1205,TONGUE,,
2_mouth,mouth,674,MOUTH,,
3_lip,lip,478,LIP,,
4_tooth,tooth,1380,TOOTH,,
5_nose,nose,1221,NOSE,,
6_eye,eye,1248,EYE,,
7_ear,ear,1247,EAR,,
8_head,head,1256,HEAD,,
9_forehead,forehead,123,FOREHEAD,,
10_hair,hair,2648,HAIR (HEAD),,
11_chin,chin,1510,CHIN,,
12_beard,beard,678,BEARD,,
13_neck,neck,1333,NECK,,
14_chest,chest,1592,CHEST,,
15_womansbreasts,woman's breasts,1402,BREAST,,
16_abdomenbelly,"abdomen, belly",1251,BELLY,,
17_back,back,1291,BACK,,
18_shoulder,shoulder,1482,SHOULDER,,
19_arm,arm,1673,ARM,,
20_upperarm,upper arm,431,UPPER ARM,,
21_elbow,elbow,981,ELBOW,,
22_hand,hand,1277,HAND,,
23_finger,finger,1303,FINGER,,
24_fingernail,fingernail,1258,FINGERNAIL,,
25_leg,leg,1297,LEG,,
26_thigh,thigh,471,UPPER LEG (THIGH),,
27_knee,knee,1371,KNEE,,
28_shin,shin,186,SHIN,,
29_foot,foot,1301,FOOT,,
30_toe,toe,1389,TOE,,
31_skin,skin,763,SKIN,,
32_bone,bone,1394,BONE,,
33_blood,blood,946,BLOOD,,
34_heart,heart,1223,HEART,,
35_lungs,lungs,688,LUNG,,
36_penis,penis,1222,PENIS,,
37_vulva,vulva,1837,VULVA,,
38_man,man,1554,MAN,,
39_male,male,1553,MALE,,
40_woman,woman,962,WOMAN,,
41_people,people,789,PEOPLE,,
42_husband,husband,1200,HUSBAND,,
43_wife,wife,1199,WIFE,,
44_father,father,1217,FATHER,,
45_mother,mother,1216,MOTHER,,
46_babyinfant,"baby, infant",1289,BABY,,
47_old,old,406,OLD MAN,,
48_water,water,948,WATER,,
49_river,river,666,RIVER,,
50_island,island,622,ISLAND,,
51_lake,lake,624,LAKE,,
52_swamp,swamp,1145,SWAMP,,
53_springofwater,spring of water,849,SPRING (OF WATER),,
54_waterfall,waterfall,943,WATERFALL,,
55_rapids,rapids,1670,RAPIDS,,
56_fire,fire,221,FIRE,,
57_ash,ash,646,ASH,,
58_charcoal,charcoal,1188,CHARCOAL,,
59_smoke,smoke,778,SMOKE (EXHAUST),,
60_firewood,firewood,10,FIREWOOD,,
61_sky,sky,1732,SKY,,
62_rain,rain,658,RAIN (PRECIPITATION),,
63_wind,wind,960,WIND,,
64_sun,sun,1343,SUN,,
65_moon,moon,1313,MOON,,
66_star,star,1430,STAR,,
67_day,day,1225,DAY (NOT NIGHT),,
68_night,night,1233,NIGHT,,
69_thunder,thunder,1150,THUNDER,,
70_lightning,lightning,1654,LIGHTNING,,
71_rainbow,rainbow,1733,RAINBOW,,
72_earth,earth,1228,EARTH (SOIL),,
73_stone,stone,857,STONE,,
74_sand,sand,671,SAND,,
75_house,house,1252,HOUSE,,
76_roof,roof,769,ROOF,,
77_doorway,doorway,1567,DOOR,,
78_seatstool,"seat, stool",2058,STOOL,,
79_mat,mat,195,MAT,,
80_hammock,hammock,2019,HAMMOCK,,
81_bed,bed,1663,BED,,
82_cookingpot,cooking pot,3653,COOKING POT,,
83_cultivatedclearing,cultivated clearing,212,FIELD,,
84_village,village,930,VILLAGE,,
85_pathtrail,"path, trail",2457,PATH OR ROAD,,
86_fishnet,fish net,388,FISHNET,,
87_fishhook,fish hook,1074,FISHHOOK,,
88_axe,axe,677,AXE,,
89_knife,knife,1352,KNIFE,,
90_canoe,canoe,1970,CANOE,,
91_paddle,paddle,234,PADDLE,,
92_club,club,1763,CLUB,,
93_spear,spear,945,SPEAR,,
94_bow,bow,994,BOW,,
95_arrow,arrow,977,ARROW,,
96_blowgun,blowgun,432,BLOWGUN,,
97_tapir,tapir,312,TAPIR,,
98_jaguar,jaguar,1250,JAGUAR,,
99_puma,puma,1891,PUMA,,
100_armadillo,armadillo,1885,ARMADILLO,,
101_dog,dog,2009,DOG,,
102_deer,deer,1936,DEER,,
103_bat,bat,1793,BAT,,
104_otter,otter,15,OTTER,,
105_cebusmonkey,cebus monkey,439,CEBUS MONKEY,,
106_howlermonkey,howler monkey,433,HOWLER MONKEY,,
107_spidermonkey,spider monkey,434,SPIDER MONKEY,,
108_capybara,capybara,314,CAPYBARA,,
109_anteater,anteater,181,ANTEATER,,
110_paca,paca,316,PACA,,
111_cayman,cayman,2438,CAIMAN,,
112_iguana,iguana,1578,IGUANA,,
113_tortoise,tortoise,895,TORTOISE,,
114_riverturtle,river turtle,112,TURTLE,,
115_collaredpeccary,collared peccary,435,COLLARED PECCARY,,
116_whitelippedpeccary,white-lipped peccary,436,WHITE-LIPPED PECCARY,,
117_agouti,agouti,313,AGOUTI,,
118_rat,rat,1490,RAT,,
119_cat,cat,1208,CAT,,
120_mouse,mouse,1491,MOUSE,,
121_tail,tail,1220,TAIL,,
122_snake,snake,730,SNAKE,,
123_anacondawaterboa,"anaconda, water boa",896,ANACONDA (WATER BOA),,
124_rattlesnake,rattlesnake,871,RATTLESNAKE,,
125_coralsnake,coral snake,2240,CORAL SNAKE,,
126_toad,toad,894,TOAD,,
127_bird,bird,937,BIRD,,
128_hummingbird,hummingbird,1589,HUMMINGBIRD,,
129_macaw,macaw,1630,MACAW,,
130_toucan,toucan,308,TOUCAN,,
131_parrot,parrot,882,PARROT,,
132_parakeet,parakeet,886,PARAKEET,,
133_buzzard,buzzard,1865,BUZZARD,,
134_curassow,curassow,315,CURASSOW,,
135_owl,owl,735,OWL,,
136_guan,guan,437,GUAN,,
137_hen,hen,1514,HEN,,
138_fish,fish,227,FISH,,
139_piranha,piranha,317,PIRANHA,,
140_bee,bee,665,BEE,,
141_fly,fly,1504,FLY (INSECT),,
142_flea,flea,232,FLEA,,
