ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Gloss_in_digital_source
143_louse,louse,1392,LOUSE,,
144_mosquito,mosquito,1509,MOSQUITO,,
145_termite,termite,883,TERMITE,,
146_ant,ant,587,ANT,,
147_spider,spider,843,SPIDER,,
148_chiggoejiggerflea,"chiggoe, jigger flea",438,CHIGGOE (JIGGER FLEA),,
149_bush,bush,1683,BUSH,,
150_opengrassland,open grassland,260,SAVANNA,,
151_hill,hill,614,HILL,,
152_tree,tree,906,TREE,,
153_leaf,leaf,2250,LEAF (LEAFLIKE OBJECT),,
154_treeleaf,tree leaf,628,LEAF,,
155_flower,flower,239,FLOWER,,
156_fruit,fruit,1507,FRUIT,,
157_sap,sap,345,SAP,,
158_root,root,670,ROOT,,
159_seed,seed,714,SEED,,
160_stick,stick,1295,STICK,,
161_grass,grass,606,GRASS,,
162_cornmaize,"corn, maize",506,MAIZE,,
163_manioc,manioc,925,CASSAVA,,
164_maniocflour,manioc flour,324,MANIOC FLOUR,,
165_tobacco,tobacco,974,TOBACCO,,
166_cotton,cotton,1850,COTTON,,
167_gourd,gourd,411,GOURD,,
168_yam,yam,410,YAM,,
169_sweetpotato,sweet potato,159,SWEET POTATO,,
170_achiote,achiote,349,ACHIOTE,,
171_chilipepper,chili pepper,919,CHILI PEPPER,,
172_coca,coca,137,COCA,,
173_banisterium,Banisterium,276,BANISTERIUM,,
174_plantain,plantain,399,PLANTAIN,,
175_chontapalm,chonta palm,440,CHONTA PALM,,
178_cane,cane,659,REED,,
179_salt,salt,1274,SALT,,
180_chicha,chicha,441,CHICHA,,
181_one,one,1493,ONE,,
182_two,two,1498,TWO,,
183_three,three,492,THREE,,
184_four,four,1500,FOUR,,
185_five,five,493,FIVE,,
190_ten,ten,1515,TEN,,
191_first,first,728,FIRST,,
192_last,last,1529,LAST (FINAL),,
193_rattle,rattle,300,RATTLE,,
194_drum,drum,908,DRUM,,
195_cushma,cushma,450,CUSHMA,,
196_earornament,ear ornament,,,,
197_mask,mask,2005,MASK,,
198_shamanfolkhealer,"shaman, folk healer",394,SHAMAN (FOLK HEALER),,
199_chief,chief,301,CHIEFTAIN,,
200_i,I,1209,I,,
201_yousingular,you (singular),1215,THOU,,
202_he,he,1211,HE,,
203_she,she,1834,SHE,,
204_it,it,169,IT,,
205_we,we,1212,WE,,
206_youplural,you (plural),1213,YOU,,
207_they,they,817,THEY,,
208_myhand,my hand,,,,
209_yourhand,your hand,,,,
210_hishand,his hand,,,,
211_ourhands,our hands,,,,
212_yourplurhands,your (plur.) hands,,,,
213_theirhands,their hands,,,,
214_mybow,my bow,,,,
215_yoursingbow,your (sing.) bow,,,,
216_hisbow,his bow,,,,
217_ourbow,our bow,,,,
218_yourplurbow,your (plur.) bow,,,,
219_theirbow,their bow,,,,
220_big,big,1202,BIG,,
221_small,small,1246,SMALL,,
222_cold,cold,1287,COLD,,
223_hot,hot,1286,HOT,,
224_good,good,1035,GOOD,,
225_bad,bad,1292,BAD,,
226_white,white,1335,WHITE,,
227_black,black,163,BLACK,,
228_go,go!,,,,
229_come,come!,,,,
230_eat,eat!,,,,
231_drink,drink!,,,,
232_sleep,sleep!,,,,
233_crownofhead,crown of head,1943,CROWN (OF HEAD),,
234_frontteethineisors,"front teeth, ineisors",442,FRONT TOOTH (INCISOR),,
235_tipoftongue,tip of tongue,443,TIP (OF TONGUE),,
236_longhair,long hair,444,LONG HAIR,,
237_theneckregion,the neck region,1347,NAPE (OF NECK),,
238_adamsapple,adam's apple,802,ADAM'S APPLE,,
239_upperback,upper back,445,UPPER BACK,,
240_lowerarm,lower arm,446,LOWER ARM,,
241_wrist,wrist,799,WRIST,,
242_lowerleg,lower leg,447,LOWER LEG,,
243_bodyhair,body hair,189,HAIR (BODY),,
244_stomach,stomach,819,STOMACH,,
245_intestines,intestines,1991,INTESTINES,,
246_oldwoman,old woman,907,OLD WOMAN,,
247_cloudsatrest,clouds at rest,1489,CLOUD,,
248_stormclouds,storm clouds,448,STORM CLOUDS,,
249_cornfield,corn field,449,CORN FIELD,,
250_stream,stream,947,STREAM,,
251_pebbles,pebbles,961,PEBBLES,,
252_hugerocks,huge rocks,3810,BOULDER,,
253_path,path,2252,PATH,,
255_shelter,shelter,1678,HUT,,
256_this,this,1214,THIS,,
257_that,that,78,THAT,,
258_who,who,1235,WHO,,
259_what,what,1236,WHAT,,
260_not,not,1240,NOT,,
261_all,all,98,ALL,,
262_many,many,1198,MANY,,
263_long,long,1203,LONG,,
264_bark,bark,1204,BARK,,
265_flesh,flesh,2615,FLESH OR MEAT,,
267_greaseanimalfat,"grease, animal fat",1282,FAT (FROM ANIMALS),,
268_egg,egg,744,EGG,,
269_horn,horn,1393,HORN (ANATOMY),,
270_feather,feather,1201,FEATHER,,
271_fingernailclaw,"fingernail, claw",2128,CLAW OR NAIL,,
272_belly,belly,1251,BELLY,,
273_liver,liver,1224,LIVER,,
274_drink,drink,1401,DRINK,,
275_eat,eat,1336,EAT,,
276_bite,bite,1403,BITE,,
277_see,see,1409,SEE,,
278_hear,hear,1408,HEAR,,
279_know,know,1410,KNOW (SOMETHING),,
280_sleep,sleep,1585,SLEEP,,
281_die,die,1494,DIE,,
282_kill,kill,1417,KILL,,
283_swim,swim,1439,SWIM,,
284_fly,fly,1441,FLY (MOVE THROUGH AIR),,
285_walk,walk,1443,WALK,,
286_come,come,1446,COME,,
287_liedown,lie down,215,LIE DOWN,,
288_sit,sit,1649,SIT DOWN,,
289_stand,stand,570,STAND UP,,
290_give,give,1447,GIVE,,
291_say,say,1458,SAY,,
292_burn,burn,2102,BURN,,
293_mountain,mountain,639,MOUNTAIN,,
294_red,red,156,RED,,
295_green,green,1425,GREEN,,
296_yellow,yellow,1424,YELLOW,,
297_full,full,1429,FULL,,
298_new,new,1231,NEW,,
299_round,round,1395,ROUND,,
300_dry,dry,1398,DRY,,
301_name,name,1405,NAME,,
302_how,how,1239,HOW,,
303_when,when,1238,WHEN,,
304_where,where,1237,WHERE,,
305_here,here,136,HERE,,
306_there,there,1937,THERE,,
307_other,other,197,OTHER,,
308_few,few,1242,FEW,,
309_fog,fog,249,FOG,,
310_flow,flow,2003,FLOW,,
311_sea,sea,1474,SEA,,
312_wet,wet,1726,WET,,
313_wash,wash,1453,WASH,,
314_worm,worm,1219,WORM,,
316_wing,wing,1257,WING,,
317_fur,fur,580,FUR,,
318_navel,navel,1838,NAVEL,,
319_saliva,saliva,1503,SALIVA,,
319_milk,milk,635,MILK,,
320_with,with,1340,WITH,,
321_in,in,1460,IN,,
322_at,at,1461,AT,,
323_if,if,1459,IF,,
324_ice,ice,617,ICE,,
325_snow,snow,784,SNOW,,
326_freeze,freeze,1431,FREEZE,,
327_child,child,1304,CHILD (YOUNG HUMAN),,
328_dark,dark,706,DARK,,
329_cut,cut,1432,CUT,,
330_wide,wide,1243,WIDE,,
331_narrow,narrow,1267,NARROW,,
332_far,far,1406,FAR,,
333_near,near,1942,NEAR,,
334_thick,thick,1244,THICK,,
335_thin,thin,2308,THIN,,
336_short,short,1645,SHORT,,
337_heavy,heavy,1210,HEAVY,,
338_dull,dull,379,BLUNT,,
339_sharp,sharp,1396,SHARP,,
340_dirty,dirty,1230,DIRTY,,
341_rotten,rotten,1728,ROTTEN,,
342_smooth,smooth,1234,SMOOTH,,
343_straight,straight,1404,STRAIGHT,,
344_correct,correct,1725,CORRECT (RIGHT),,
345_left,left,244,LEFT,,
346_right,right,1019,RIGHT,,
347_oldman,old man,1229,OLD,,
348_rub,rub,1449,RUB,,
349_pull,pull,1455,PULL,,
350_push,push,1452,PUSH,,
351_throw,throw,1456,THROW,,
352_hit,hit,353,STRIKE,,
353_split,split,1437,SPLIT,,
354_pierce,pierce,398,PIERCE,,
355_dig,dig,1418,DIG,,
356_tie,tie,1917,TIE,,
357_sew,sew,1457,SEW,,
358_fall,fall,1280,FALL,,
359_swell,swell,1573,SWELL,,
360_think,think,2271,THINK,,
361_sing,sing,1261,SING,,
362_smell,smell,1586,SMELL (PERCEIVE),,
363_vomit,vomit,1278,VOMIT,,
364_suck,suck,1421,SUCK,,
365_blow,blow,175,BLOW (OF WIND),,
366_fear,fear,1419,FEAR (BE AFRAID),,
367_tightensqueeze,"tighten, squeeze",1414,SQUEEZE,,
368_hold,hold,1448,HOLD,,
369_down,down,1326,DOWN,,
370_up,up,1591,UP,,
371_ripe,ripe,178,RIPE,,
372_dust,dust,2,DUST,,
373_alive,alive,1422,BE ALIVE,,
374_rope,rope,1218,ROPE,,
